"level","fruit","ranking_mass_g","source_mass_g","basis","interpretation","source_url"
"9","Red pineapple","688","687.84","proxy","Ananas bracteatus var. albus proxy for red/wild pineapple; measured 30-fruit sample with crowns. Not an exact measurement of the illustrated red cultivar.","https://www.scielo.br/j/rbf/a/LmpV9b3TNqrLCDj5MYnbYNM/?lang=en"
"9","Acorn squash","737","737","range-midpoint","Table Queen; midpoint of grower/supplier 1.25–2 lb average range.","https://www.joyfulseeds.com/store/pc/Table-Queen-Acorn-Squash-Seed-p12675.htm"
"9","Snow Leopard melon","907","907","cultivar-typical","Seed supplier comparison chart; Snow Leopard, 2 lb average. Pounds converted to grams.","https://www.johnnyseeds.com/on/demandware.static/-/Library-Sites-JSSSharedLibrary/default/dwd7515c44/assets/information/melon-varieties-comparison-chart.pdf"
"9","Soursop","988","988.4","study-mean","Soconusco, Chiapas accession study, Table 2 grand mean whole-fruit weight; large accession variation.","https://revistas.chapingo.mx/horticultura/?articulo=2688&numero=287&section=articles&subsec=issues"
"9","Breadfruit","1200","1200","study-mean","Cultivar evaluation thesis: reported mean whole-fruit weight 1.2 kg across cultivars and study years.","https://www.collectionscanada.gc.ca/obj/thesescanada/vol2/BVAU/TC-BVAU-57953.pdf"
"9","Kabocha","1300","1300","cultivar-typical","Sweet Mama green-skinned kabocha, supplier typical 1.3 kg fruit.","https://www.westcoastseeds.com/products/sweet-mama"
"9","Piel de Sapo","1360","1361","cultivar-typical","Seed supplier comparison chart; Lambkin, 3 lb average. Pounds converted to grams.","https://www.johnnyseeds.com/on/demandware.static/-/Library-Sites-JSSSharedLibrary/default/dwd7515c44/assets/information/melon-varieties-comparison-chart.pdf"
"9","Pomelo","1450","1450","study-mean","2024 harvest of 410 whole fruits, reported average 1.45 kg.","https://pmc.ncbi.nlm.nih.gov/articles/PMC13062551/"
"10","Galia melon","1590","1588","range-midpoint","Seed supplier comparison chart; Arava, 3–4 lb. Pounds converted to grams.","https://www.johnnyseeds.com/on/demandware.static/-/Library-Sites-JSSSharedLibrary/default/dwd7515c44/assets/information/melon-varieties-comparison-chart.pdf"
"10","Coconut","1680","1680","study-mean","Ghana hybrid coconut sample, whole fresh fruit including husk and shell: 1.68 kg. Artwork depicts a dehusked coconut; ranking still uses botanical whole fruit.","https://www.mdpi.com/1996-1073/13/9/2178"
"10","Papaya","1800","1800","cultivar-typical","Red Lady representative large commercial papaya; ministry production manual average 1.8 kg.","https://agriculture.gov.tt/wp-content/uploads/2017/11/Papaya-_Production_Manual.pdf"
"10","Canary melon","1810","1814","cultivar-typical","Seed supplier comparison chart; Brilliant, 4 lb average. Pounds converted to grams.","https://www.johnnyseeds.com/on/demandware.static/-/Library-Sites-JSSSharedLibrary/default/dwd7515c44/assets/information/melon-varieties-comparison-chart.pdf"
"10","Honeydew","1950","1950","range-midpoint","Green Flesh representative cultivar; midpoint of supplier 1.5–2.4 kg range. Use metric figures; parenthetical pound equivalents are approximate.","https://mckenzieseeds.com/products/honeydew-green-flesh"
"10","Hami melon","2000","2000","study-mean","Dongfangmi 3 cultivar release; reported average single-fruit weight 2.0 kg.","https://www.ahs.ac.cn/EN/10.16420/j.issn.0513-353x.2020-0930"
"10","Butternut","2040","2041","range-midpoint","Waltham Butternut; midpoint of seed supplier 4–5 lb average range.","https://www.johnnyseeds.com/vegetables/squash/winter-squash/waltham-butternut-organic-butternut-squash-seed-671G.32.html"
"10","Pineapple","2500","2500","range-midpoint","Kew/Smooth Cayenne representative cultivar; midpoint of 2–3 kg whole-fruit range.","https://nhb.gov.in/pdf/fruits/pineapple/pin013.pdf"
"10","Melon","2500","2495","range-midpoint","Seed supplier comparison chart; Athena cantaloupe, 5–6 lb. Pounds converted to grams.","https://www.johnnyseeds.com/on/demandware.static/-/Library-Sites-JSSSharedLibrary/default/dwd7515c44/assets/information/melon-varieties-comparison-chart.pdf"
"10","Casaba melon","2500","2500","range-midpoint","Golden Beauty: seed conservation association’s 2000–3000 g fruit range, midpoint.","https://kokopelli-semences.fr/fr/p/P4329-casaba-golden-beauty"
"11","Pumpkin","2500","2495","range-midpoint","Small Sugar culinary pumpkin representative; midpoint of 5–6 lb range, excludes giant competition pumpkins.","https://ucanr.edu/node/124995/printable/print"
"11","Durian","2600","2600","range-midpoint","Sua Hat Lep representative cultivar, midpoint of 2.5–2.7 kg average-weight range.","https://www.fao.org/4/ad523e/ad523e04.htm"
"11","Yellow watermelon","2720","2722","range-midpoint","Yellow Doll representative yellow-fleshed cultivar; midpoint of breeder’s 5–7 lb average range.","https://www.vegetables.bayer.com/us/en-us/products/watermelon/details.html/watermelon_yellow_doll_usa_seminis_home_garden_home_garden_all.html"
"11","Crenshaw melon","3180","3175","range-midpoint","Seed supplier comparison chart; Lilly, 6–8 lb. Pounds converted to grams.","https://www.johnnyseeds.com/on/demandware.static/-/Library-Sites-JSSSharedLibrary/default/dwd7515c44/assets/information/melon-varieties-comparison-chart.pdf"
"11","Sugar Baby watermelon","4000","4000","cultivar-typical","Sugar Baby, JICA cultivation guide reported average 4 kg.","https://www.jica.go.jp/project/english/kenya/015/materials/c8h0vm0000f7o8cj-att/materials_27.pdf"
"11","Watermelon","6010","6010","study-mean","Crimson Sweet representative red watermelon, reported mean across early and full cropping seasons.","https://pmc.ncbi.nlm.nih.gov/articles/PMC10181218/"
"11","Pale striped watermelon","6010","6010","proxy","Artwork colour description, not a defined cultivar. Shares the Crimson Sweet striped-watermelon 6.01 kg measured mean; no invented size difference.","https://pmc.ncbi.nlm.nih.gov/articles/PMC10181218/"
"11","Orange watermelon","7940","7938","range-midpoint","Orangeglo representative cultivar; midpoint of observed trial yields 15–20 lb fruit, not packet’s larger 20–30 lb description.","https://ucanr.edu/site/uc-master-gardeners-santa-clara-county/watermelon-2006-trial"
"11","Winter melon","7940","7938","range-midpoint","Benincasa hispida; grower-reported 15–20 lb average range, midpoint converted to grams.","https://greatlakesstapleseeds.com/products/benincasa-hispida-winter-melon"
"11","Jackfruit","9980","9979","cultivar-typical","Black Gold representative medium cultivar, 22 lb × 453.59237 g/lb. Cultivars vary greatly.","https://edis.ifas.ufl.edu/publication/MG370/pdf"
